iter	Passed	Remaining
0	12	12951
1	16	8034
2	18	5994
3	19	4922
4	26	5179
5	28	4754
6	31	4435
7	33	4169
8	36	4064
9	39	3916
10	43	3891
11	45	3774
12	47	3638
13	51	3597
14	56	3682
15	59	3632
16	61	3574
17	65	3551
18	67	3471
19	72	3538
20	75	3502
21	77	3428
22	79	3358
23	81	3298
24	84	3285
25	87	3267
26	90	3243
27	92	3211
28	94	3166
29	96	3115
30	98	3088
31	101	3072
32	104	3049
33	107	3044
34	109	3007
35	112	3012
36	115	2996
37	117	2982
38	119	2956
39	121	2927
40	123	2897
41	125	2867
42	130	2901
43	132	2880
44	135	2868
45	137	2843
46	138	2816
47	142	2816
48	144	2798
49	146	2778
50	148	2761
51	149	2729
52	151	2700
53	152	2670
54	153	2643
55	155	2617
56	157	2611
57	161	2615
58	162	2593
59	164	2576
60	165	2553
61	167	2537
62	169	2522
63	173	2531
64	175	2527
65	177	2515
66	179	2503
67	181	2485
68	183	2471
69	186	2471
70	188	2465
71	190	2459
72	192	2445
73	194	2434
74	196	2420
75	197	2405
76	200	2404
77	203	2411
78	207	2415
79	209	2408
80	211	2396
81	212	2384
82	213	2361
83	216	2361
84	218	2355
85	221	2352
86	222	2340
87	225	2335
88	227	2324
89	228	2312
90	232	2321
91	235	2320
92	237	2312
93	238	2302
94	240	2291
95	242	2286
96	245	2284
97	248	2283
98	250	2282
99	252	2276
100	254	2269
101	256	2259
102	258	2247
103	262	2264
104	264	2256
105	267	2253
106	269	2247
107	271	2239
108	272	2228
109	276	2237
110	279	2238
111	282	2235
112	284	2231
113	286	2222
114	288	2216
115	290	2211
116	292	2207
117	295	2205
118	297	2204
119	299	2196
120	301	2187
121	302	2178
122	306	2182
123	309	2186
124	311	2183
125	313	2174
126	314	2164
127	318	2168
128	321	2173
129	324	2171
130	326	2164
131	327	2155
132	329	2146
133	330	2138
134	333	2135
135	335	2133
136	337	2126
137	339	2118
138	340	2109
139	341	2099
140	344	2097
141	346	2093
142	348	2089
143	351	2086
144	353	2085
145	355	2077
146	357	2075
147	359	2068
148	361	2067
149	364	2065
150	366	2059
151	367	2052
152	369	2043
153	372	2046
154	373	2038
155	377	2044
156	380	2040
157	381	2035
158	383	2029
159	385	2023
160	386	2012
161	387	2006
162	389	1998
163	391	1996
164	393	1993
165	396	1990
166	397	1983
167	399	1976
168	400	1968
169	401	1960
170	402	1952
171	406	1959
172	408	1953
173	410	1946
174	411	1942
175	413	1935
176	414	1928
177	415	1920
178	417	1912
179	418	1906
180	421	1907
181	425	1913
182	427	1908
183	429	1904
184	430	1898
185	432	1891
186	433	1885
187	436	1887
188	439	1885
189	441	1881
190	444	1881
191	446	1880
192	454	1898
193	456	1896
194	458	1892
195	459	1886
196	461	1880
197	462	1873
198	465	1872
199	467	1869
200	469	1866
201	471	1860
202	472	1855
203	473	1849
204	475	1843
205	476	1836
206	479	1838
207	483	1840
208	485	1837
209	486	1831
210	488	1825
211	489	1819
212	490	1813
213	492	1808
214	494	1804
215	496	1802
216	498	1799
217	500	1795
218	502	1791
219	503	1785
220	504	1778
221	507	1777
222	509	1774
223	512	1776
224	514	1771
225	515	1766
226	517	1761
227	518	1756
228	520	1751
229	523	1751
230	525	1748
231	527	1746
232	528	1740
233	530	1735
234	531	1730
235	532	1725
236	534	1720
237	536	1718
238	539	1718
239	542	1716
240	543	1712
241	545	1708
242	546	1702
243	547	1697
244	548	1691
245	552	1692
246	554	1689
247	556	1688
248	558	1685
249	560	1680
250	561	1674
251	562	1669
252	563	1663
253	564	1657
254	565	1653
255	574	1668
256	576	1666
257	577	1661
258	578	1655
259	579	1649
260	581	1647
261	583	1644
262	585	1640
263	587	1637
264	589	1634
265	590	1630
266	591	1624
267	593	1620
268	594	1615
269	596	1612
270	598	1610
271	601	1608
272	602	1604
273	603	1599
274	604	1593
275	605	1589
276	607	1586
277	611	1587
278	615	1589
279	618	1590
280	620	1588
281	623	1588
282	625	1584
283	631	1592
284	635	1594
285	637	1590
286	639	1588
287	640	1584
288	642	1581
289	644	1578
290	646	1575
291	648	1571
292	649	1567
293	651	1563
294	655	1566
295	657	1563
296	659	1560
297	661	1558
298	662	1553
299	663	1548
300	665	1545
301	667	1543
302	669	1539
303	672	1539
304	673	1535
305	675	1531
306	676	1527
307	678	1523
308	679	1519
309	680	1514
310	682	1511
311	686	1514
312	689	1512
313	690	1509
314	692	1504
315	693	1500
316	694	1497
317	696	1493
318	698	1490
319	700	1488
320	702	1486
321	704	1483
322	705	1479
323	707	1475
324	708	1471
325	709	1467
326	715	1473
327	718	1471
328	719	1467
329	721	1464
330	722	1460
331	723	1456
332	725	1453
333	728	1451
334	730	1450
335	733	1448
336	735	1446
337	736	1443
338	738	1439
339	745	1446
340	747	1444
341	749	1441
342	750	1438
343	752	1434
344	753	1430
345	754	1426
346	756	1423
347	761	1426
348	763	1423
349	764	1420
350	766	1416
351	768	1414
352	774	1419
353	776	1417
354	778	1413
355	779	1409
356	780	1405
357	785	1408
358	803	1434
359	805	1432
360	807	1428
361	808	1425
362	810	1421
363	811	1418
364	815	1418
365	819	1419
366	823	1419
367	824	1416
368	826	1412
369	829	1412
370	834	1415
371	837	1413
372	838	1409
373	839	1405
374	841	1402
375	844	1401
376	846	1398
377	848	1396
378	851	1394
379	852	1391
380	853	1387
381	855	1383
382	856	1379
383	861	1381
384	863	1379
385	865	1377
386	867	1373
387	868	1370
388	869	1366
389	873	1365
390	875	1363
391	878	1362
392	880	1359
393	881	1356
394	883	1352
395	884	1348
396	887	1347
397	889	1345
398	891	1343
399	894	1341
400	895	1338
401	897	1335
402	898	1331
403	901	1329
404	903	1326
405	904	1323
406	907	1322
407	908	1318
408	910	1315
409	911	1311
410	912	1308
411	915	1305
412	917	1304
413	920	1302
414	921	1299
415	923	1296
416	924	1292
417	925	1289
418	926	1285
419	928	1282
420	931	1281
421	933	1278
422	935	1275
423	936	1272
424	937	1269
425	939	1265
426	940	1262
427	942	1259
428	944	1257
429	947	1255
430	949	1254
431	951	1251
432	953	1248
433	954	1245
434	955	1241
435	957	1238
436	960	1236
437	963	1235
438	965	1233
439	967	1230
440	969	1228
441	971	1225
442	974	1225
443	980	1227
444	982	1225
445	983	1222
446	985	1219
447	986	1215
448	988	1213
449	990	1210
450	992	1208
451	994	1205
452	996	1202
453	997	1199
454	998	1196
455	999	1192
456	1001	1189
457	1004	1188
458	1010	1190
459	1011	1187
460	1012	1184
461	1014	1181
462	1015	1178
463	1018	1176
464	1023	1177
465	1027	1177
466	1029	1175
467	1033	1175
468	1040	1178
469	1042	1175
470	1044	1172
471	1046	1170
472	1049	1169
473	1056	1171
474	1057	1169
475	1059	1165
476	1060	1162
477	1061	1159
478	1070	1164
479	1072	1162
480	1074	1159
481	1075	1156
482	1077	1153
483	1080	1152
484	1087	1154
485	1090	1152
486	1093	1151
487	1102	1156
488	1104	1154
489	1106	1151
490	1121	1162
491	1129	1166
492	1132	1164
493	1134	1161
494	1137	1160
495	1141	1159
496	1146	1160
497	1149	1158
498	1154	1159
499	1157	1157
500	1162	1157
501	1164	1155
502	1166	1152
503	1175	1156
504	1179	1156
505	1181	1153
506	1183	1150
507	1187	1149
508	1190	1148
509	1193	1146
510	1194	1143
511	1196	1140
512	1201	1140
